Gen;Time;Best Score;First Place Generation;Second Place Generation;Third Place Generation
306;2178.809815645218;971.3481056766159;788.1760517312011;783.4261837622705;770.7565664094842
307;2186.19388961792;971.3481056766159;815.9413271784774;815.8906470201077;770.4590981502977
308;2193.7989263534546;971.3481056766159;791.7935116072981;782.9560591856249;768.1594030449481
309;2200.9687778949738;971.3481056766159;800.677787902612;752.7665463180655;743.5846426561046
310;2207.9978971481323;971.3481056766159;739.193899589796;722.9585862882149;698.3428319752489
311;2215.5773928165436;971.3481056766159;822.9105286758207;808.73265218695;767.1453827820613
312;2222.324600458145;971.3481056766159;850.8632916922923;849.3011449759177;829.8334372403943
313;2229.595911026001;971.3481056766159;804.7702828922664;788.2783105153185;781.1723253993737
314;2236.4910237789154;971.3481056766159;842.2103290464667;840.3229762808932;750.5099603174757
315;2244.250513076782;971.3481056766159;913.3081324976829;830.2246872619894;773.947789196523
316;2251.8766248226166;971.3481056766159;854.935254284259;835.194790802122;807.4470591622786
317;2260.2701575756073;971.3481056766159;900.0239005899275;884.6175884698833;806.5528973103607
318;2267.6024446487427;971.3481056766159;840.872273735959;790.4132601770178;789.6880794558251
319;2274.671741247177;971.3481056766159;947.4798144891244;936.1652148884657;838.0387753387778
320;2283.0334503650665;971.3481056766159;802.2054926526957;791.0673162771164;786.7916779096968
321;2290.0579409599304;982.9302198847538;982.9302198847538;961.1080305412838;865.9582110926342
322;2298.6934309005737;1084.0248989741385;1084.0248989741385;914.4056087284897;861.0703575571224
323;2309.6458942890167;1117.1536742105793;1117.1536742105793;999.2274439880358;999.0382078933444
324;2321.565001964569;1117.1536742105793;1035.7465112516286;1022.5024962171838;1010.3726234902585
325;2333.971807718277;1168.0728677181462;1168.0728677181462;1094.1022805992393;1078.5818989748202
326;2347.1482672691345;1237.7641794032056;1237.7641794032056;1165.1654762208439;1148.583205128357
327;2360.227575302124;1287.8738012992783;1287.8738012992783;1247.9887728727656;1225.8360152430496
328;2374.4701702594757;1287.8738012992783;1263.11254978634;1214.064583436992;1210.8316257547608
329;2388.7801518440247;1340.296045350766;1340.296045350766;1251.2697294097356;1245.0214597797153
330;2401.9330472946167;1340.296045350766;1244.206273899648;1196.8151130589451;1193.5144346136772
331;2414.7792360782623;1340.296045350766;1338.822391289245;1272.2644157150767;1204.7212386936237
332;2427.7783284187317;1340.296045350766;1262.4917320494865;1242.4901179598444;1222.3729578434304
333;2441.801174402237;1340.296045350766;1317.1405254567196;1307.748963526444;1268.1310180871599
334;2455.5622684955597;1340.296045350766;1289.9673874309858;1222.883809907397;1221.4239060334405
335;2469.0769448280334;1340.296045350766;1291.2719998626092;1266.5963455742653;1266.452741833348
336;2481.860187292099;1340.296045350766;1331.019527886846;1272.3472232736142;1270.4864695588822
337;2494.196319103241;1340.296045350766;1272.3187603949118;1245.3859302942105;1188.6481393033323
338;2507.1257824897766;1340.296045350766;1336.7776128609191;1312.2599285648553;1279.8756194135392
339;2519.9645602703094;1340.296045350766;1277.3400934807044;1256.0855156661496;1253.4417801745
340;2533.8775520324707;1340.296045350766;1259.194899657669;1236.1619914155356;1225.2781961272933
341;2546.0202627182007;1340.296045350766;1273.83844900035;1214.6495986323528;1214.4634617099675
342;2558.8973619937897;1340.296045350766;1322.7140465854095;1300.603603810097;1297.086111182892
343;2570.1161999702454;1340.296045350766;1258.0594585559375;1236.3273815720333;1234.2036783574276
344;2582.4761946201324;1340.296045350766;1324.214899398029;1284.7127463232937;1232.8135933405188
345;2596.281889438629;1340.296045350766;1302.415768688588;1289.9300961127117;1260.8076590420178
346;2610.6453998088837;1359.9556427455384;1359.9556427455384;1326.805826028059;1310.9294160722882
347;2624.406177043915;1470.0543644649808;1470.0543644649808;1343.8563286479432;1303.5166407061313
348;2639.7997341156006;1470.0543644649808;1396.8200508945658;1349.9856521816928;1267.408229048839
349;2655.7879614830017;1470.0543644649808;1401.088788020183;1324.5684646349087;1308.3933440747853
350;2670.448386669159;1470.0543644649808;1244.515763793566;1243.4801739082532;1235.4300727570533
351;2684.18944978714;1470.0543644649808;1370.8945740792735;1302.84775354006;1268.691718923342
352;2699.4096574783325;1470.0543644649808;1348.9315075309628;1290.4484263285874;1281.8642220659844
353;2712.890661239624;1470.0543644649808;1343.7341388747377;1274.5900748187198;1218.25366506827
354;2725.424651145935;1470.0543644649808;1286.265666928664;1269.6063252211072;1267.8486791885782
355;2740.907846212387;1470.0543644649808;1362.7920974653105;1347.8952620667044;1326.0420932313816
356;2754.040160894394;1470.0543644649808;1372.6095972915343;1346.365961174852;1308.9826634272392
357;2768.6124243736267;1470.0543644649808;1316.9925875862234;1288.5661703961187;1250.976237137679
358;2781.575662136078;1470.0543644649808;1333.5702635822063;1320.6311693930263;1283.827277771373
359;2795.477819442749;1470.0543644649808;1354.2794102272699;1299.6317888675292;1279.0155581019444
360;2810.482936859131;1470.0543644649808;1303.0388714011667;1296.005059706671;1279.6431578693685
361;2824.3305580615997;1470.0543644649808;1356.1447640884671;1252.5877357484542;1242.9276067622136
362;2837.527268886566;1470.0543644649808;1353.6717000098076;1277.6163592319003;1256.5470338921964
